swizzle,swizzle_n_maj,denoise_dtype,skip_denoising,pipeline_stages,median_ms,mean_ms,min_ms,max_ms,tops
,False,int32,True,2,15.770416259765625,16.168025732040405,13.358559608459473,17.858400344848633,26.14495734446313
0,True,fp16,False,,15.773663997650146,16.121643257141113,12.24681568145752,17.784448623657227,26.13957419642159
0,True,fp16,False,1,15.813455581665039,16.026563119888305,13.916288375854492,17.559839248657227,26.07379887885239
0,True,fp16,False,2,15.981056213378906,16.143703985214234,14.221695899963379,18.142112731933594,25.80035104756215
0,True,fp16,True,,16.196688652038574,16.765398454666137,14.096223831176758,19.618175506591797,25.456861539664427
0,True,fp16,True,1,16.04044818878174,16.27667999267578,13.915360450744629,17.895647048950195,25.70482168349656
0,True,fp16,True,2,16.458847999572754,16.53824167251587,12.53388786315918,18.396480560302734,25.05138029263671
0,True,int32,False,,16.113712310791016,16.299764728546144,14.199808120727539,18.05353546142578,25.587949720306227
0,True,int32,False,1,16.51792049407959,17.13191375732422,15.278240203857422,21.570432662963867,24.961789867179956
0,True,int32,False,2,17.55183982849121,18.18646879196167,14.879424095153809,20.994976043701172,23.491375516468782
0,True,int32,True,,17.82921600341797,18.64631986618042,16.959680557250977,22.474912643432617,23.125910883403755
0,True,int32,True,1,19.570207595825195,19.563331031799315,16.90105628967285,22.023040771484375,21.068599216288195
0,True,int32,True,2,19.54742431640625,18.996874952316283,9.29958438873291,21.791872024536133,21.093155483914085
0,False,fp16,False,,20.240464210510254,20.87628173828125,17.20889663696289,25.403295516967773,20.370919171008758
0,False,fp16,False,1,19.92955207824707,20.039228630065917,9.337984085083008,24.58345603942871,20.68871687618309
0,False,fp16,False,2,19.711615562438965,19.058129739761352,14.77353572845459,22.435039520263672,20.917456466718097
0,False,fp16,True,,19.377856254577637,18.532134532928467,14.691391944885254,22.445695877075195,21.277733460253028
0,False,fp16,True,1,17.14070415496826,17.3924081325531,14.757344245910645,22.13065528869629,24.05483792779244
0,False,fp16,True,2,19.151663780212402,18.79133286476135,14.444064140319824,23.280319213867188,21.52903607476693
0,False,int32,False,,20.50155258178711,20.182715272903444,15.227583885192871,26.759552001953125,20.1114944232218
0,False,int32,False,1,20.096720695495605,19.216857624053954,14.786591529846191,23.06015968322754,20.51662391409037
0,False,int32,False,2,19.054176330566406,19.17744493484497,15.030847549438477,22.253568649291992,21.639185723004353
0,False,int32,True,,26.29580783843994,25.472163248062134,9.294207572937012,40.99635314941406,15.679946512738955
0,False,int32,True,1,20.910719871520996,20.637571096420288,13.723423957824707,25.69046401977539,19.717965854324703
0,False,int32,True,2,19.984288215637207,19.463831996917726,9.302080154418945,23.506559371948242,20.632051337879144
4,True,fp16,False,,18.04528045654297,18.73075032234192,15.180031776428223,22.704511642456055,22.84901370244426
4,True,fp16,False,1,18.536479949951172,19.244521617889404,14.952192306518555,23.424991607666016,22.243536072073173
4,True,fp16,False,2,19.79425621032715,19.373702478408813,12.019007682800293,22.412384033203125,20.830126478856233
4,True,fp16,True,,20.004783630371094,19.891839694976806,17.115999221801758,22.767135620117188,20.61091327126498
4,True,fp16,True,1,20.146384239196777,20.043915271759033,16.705951690673828,22.73094367980957,20.466047679851005
4,True,fp16,True,2,20.028864860534668,20.103456020355225,17.247615814208984,22.645503997802734,20.586132229013067
4,True,int32,False,,20.356127738952637,20.324440002441406,9.365280151367188,26.269472122192383,20.25517159764171
4,True,int32,False,1,20.101136207580566,22.785927867889406,14.808095932006836,40.48668670654297,20.51211713398104
4,True,int32,False,2,20.025487899780273,19.759436893463135,17.695423126220703,23.063007354736328,20.58960373297692
4,True,int32,True,,19.40436840057373,19.127763271331787,11.956031799316406,22.791839599609375,21.248661739683783
4,True,int32,True,1,17.36916732788086,17.75243196487427,12.369536399841309,22.20204734802246,23.73843562173254
4,True,int32,True,2,18.891167640686035,18.43244333267212,14.851424217224121,21.658912658691406,21.825906596053407
4,False,fp16,False,,17.069839477539062,17.454528045654296,14.620320320129395,21.827903747558594,24.154700514819556
